date,year,neumonias_men5,hospitalizados_men5,defunciones_men5,neumonias_60mas,hospitalizados_60mas,defunciones_60mas,HR,CFR,HR_roll,CFR_roll
2008-03-24,2008,1053,312,6,152,38,8,0.25,0.05263157894736842,0.2764635038023731,0.0424322976773088
2008-03-31,2008,954,302,6,149,41,9,0.2751677852348993,0.06040268456375839,0.2804246943480399,0.039113068030387305
2008-04-07,2008,1094,347,4,125,35,5,0.28,0.04,0.28002646425954436,0.03858209457905987
2008-04-14,2008,1182,415,5,120,38,2,0.31666666666666665,0.016666666666666666,0.2720434259114617,0.037346843841596734
2008-04-21,2008,1065,353,6,132,42,6,0.3181818181818182,0.045454545454545456,0.2818574754982386,0.03889643061845625
2008-04-28,2008,1071,372,7,123,29,7,0.23577235772357724,0.056910569105691054,0.28366508578745625,0.03883812060912664
2008-05-05,2008,1051,377,13,126,38,5,0.30158730158730157,0.03968253968253968,0.28654206991444037,0.04290558092658696
2008-05-12,2008,1004,341,15,136,43,7,0.3161764705882353,0.051470588235294115,0.2866940499978123,0.04540239658198297
2008-05-19,2008,1191,448,12,125,32,8,0.256,0.064,0.28744404999781226,0.04682344921356192
2008-05-26,2008,957,377,11,140,42,6,0.3,0.04285714285714286,0.2905480768434499,0.04463025650023498
2008-06-02,2008,1023,395,6,137,38,3,0.2773722627737226,0.021897810218978103,0.2902196096901652,0.04236748277760724
2008-06-09,2008,890,326,9,134,41,14,0.30597014925373134,0.1044776119402985,0.28888254501354826,0.053343850936811224
2008-06-16,2008,846,314,17,112,31,7,0.2767857142857143,0.0625,0.2837080320265353,0.05547453275499304
2008-06-23,2008,845,279,12,136,35,7,0.25735294117647056,0.051470588235294115,0.28640560495814693,0.054794535146193424
2008-06-30,2008,844,280,10,167,41,11,0.24550898203592814,0.0658682634730539,0.2793958150142253,0.0580677506200077
2008-07-07,2008,903,301,15,152,46,8,0.3026315789473684,0.05263157894736842,0.2777027035591169,0.05821287445901699
2008-07-14,2008,886,323,13,131,66,5,0.5038167938931297,0.03816793893129771,0.30867980279575813,0.0549838668254292
2008-07-21,2008,700,264,8,118,34,1,0.288135593220339,0.00847457627118644,0.30719675194830054,0.05068604600218465
2008-07-28,2008,793,306,13,153,40,5,0.26143790849673204,0.032679738562091505,0.3052049576636767,0.052033787045073825
2008-08-04,2008,684,227,7,114,36,2,0.3157894736842105,0.017543859649122806,0.3064323732174866,0.04116706800867686
2008-08-11,2008,619,223,8,137,31,4,0.22627737226277372,0.029197080291970802,0.300118830464619,0.03700420304517321
2008-08-18,2008,653,231,8,127,34,8,0.2677165354330709,0.06299212598425197,0.30141427974669405,0.038444395263792945
2008-08-25,2008,611,195,8,127,31,9,0.2440944881889764,0.07086614173228346,0.30123746801582507,0.03906913004619664
2008-09-01,2008,717,238,5,164,53,6,0.3231707317073171,0.036585365853658534,0.3038048621108187,0.0370633534094829
2008-09-08,2008,686,213,10,116,37,6,0.31896551724137934,0.05172413793103448,0.2806984525293499,0.03875787828445
2008-09-15,2008,679,272,6,111,37,10,0.3333333333333333,0.09009009009009009,0.2863481700434741,0.048959817511812956
2008-09-22,2008,718,266,12,123,39,14,0.3170731707317073,0.11382113821138211,0.2933025778228461,0.059102492467974284
2008-09-29,2008,601,216,4,123,39,10,0.3170731707317073,0.08130081300813008,0.29346303995378314,0.06707211163785019
2008-10-06,2008,655,231,6,115,44,6,0.3826086956521739,0.05217391304347826,0.3130044553774582,0.06994421573178863
2008-10-13,2008,709,222,6,133,54,8,0.40601503759398494,0.06015037593984962,0.33029176814757244,0.06958899697623833
2008-10-20,2008,719,241,5,120,37,6,0.30833333333333335,0.05,0.3383216237906171,0.0669807292597029
2008-10-27,2008,697,236,8,158,41,8,0.25949367088607594,0.05063291139240506,0.33036199118796195,0.06873667245204622
2008-11-03,2008,779,248,8,137,37,11,0.27007299270072993,0.08029197080291971,0.32425042562038076,0.07230765156103187
2008-11-10,2008,797,290,12,177,36,7,0.2033898305084746,0.03954802259887006,0.30800748776727344,0.06598989312462936
2008-11-17,2008,721,218,8,144,57,5,0.3958333333333333,0.034722222222222224,0.31785250809247667,0.056102528625984374
2008-11-24,2008,786,258,6,117,26,4,0.2222222222222222,0.03418803418803419,0.305996139528791,0.050213431273472386
2008-12-01,2008,659,217,8,140,34,1,0.24285714285714285,0.007142857142857143,0.28852719542941213,0.04458454928589475
2008-12-08,2008,735,227,11,105,28,1,0.26666666666666666,0.009523809523809525,0.27110864906349735,0.03825622848388974
2008-12-15,2008,639,207,4,147,31,1,0.2108843537414966,0.006802721088435374,0.2589275266145178,0.03285656861994416
2008-12-22,2008,561,209,3,112,33,3,0.29464285714285715,0.026785714285714284,0.2633211748966154,0.029875668981607813
2008-12-29,2008,1172,388,8,264,67,9,0.2537878787878788,0.03409090909090909,0.261285535657509,0.024100536267606488
2009-01-05,2009,608,185,3,172,37,13,0.21511627906976744,0.0755813953488372,0.2627513417276706,0.02860470786135238
2009-01-12,2009,501,150,7,122,43,4,0.3524590163934426,0.03278688524590164,0.2573295521101843,0.028362790739312308
2009-01-19,2009,499,150,12,97,34,2,0.35051546391752575,0.020618556701030927,0.2733662073220972,0.026666606053436896
2009-01-26,2009,459,121,6,126,53,8,0.42063492063492064,0.06349206349206349,0.29558842954431946,0.03371025684708769
2009-02-02,2009,561,168,5,127,53,5,0.41732283464566927,0.03937007874015748,0.31442045054169476,0.03744104049913119
2009-02-09,2009,508,166,4,116,55,3,0.47413793103448276,0.02586206896551724,0.3473271477033181,0.03982345898376642
2009-02-16,2009,589,184,10,107,44,7,0.411214953271028,0.06542056074766354,0.36189865971933943,0.04465281479151008
2009-02-23,2009,607,192,10,119,39,6,0.3277310924369748,0.05042016806722689,0.3711415614254764,0.046693972163549806
2009-03-02,2009,674,202,6,100,31,5,0.31,0.05,0.38300202654175547,0.04349629774494515
2009-03-09,2009,696,223,10,115,39,7,0.3391304347826087,0.06086956521739131,0.3813359538404012,0.047006632741381366
2009-03-16,2009,831,253,3,126,49,8,0.3888888888888889,0.06349206349206349,0.3861326319618217,0.05236582109026043
2009-03-23,2009,925,295,8,113,28,3,0.24778761061946902,0.02654867256637168,0.3645267182098902,0.04774789722454895
2009-03-30,2009,914,291,7,126,40,5,0.31746031746031744,0.03968253968253968,0.3520439035617212,0.04778695484234673
2009-04-06,2009,1027,318,9,151,47,6,0.31125827814569534,0.039735099337748346,0.33168394695062275,0.04952108363887562
2009-04-13,2009,1202,426,9,154,47,7,0.3051948051948052,0.045454545454545456,0.31843142844109495,0.04702533172723585
2009-04-20,2009,1190,458,9,121,41,6,0.33884297520661155,0.049586776859504134,0.31982041378729953,0.04692115782627051
2009-04-27,2009,1367,530,7,157,51,9,0.3248407643312102,0.05732484076433121,0.3216755093287008,0.047836762921811916
2009-05-04,2009,1354,469,8,128,54,7,0.421875,0.0546875,0.3320185799808747,0.047064004769638
2009-05-11,2009,1394,524,25,143,58,9,0.40559440559440557,0.06293706293706294,0.33410676956906427,0.04699462970026293
2009-05-18,2009,1325,494,12,136,47,5,0.34558823529411764,0.03676470588235294,0.34633184765339536,0.048271633864760584
2009-05-25,2009,1412,521,22,120,44,8,0.36666666666666664,0.06666666666666667,0.35248264130418905,0.051644649737776466
2009-06-01,2009,1216,422,21,143,57,8,0.3986013986013986,0.055944055944055944,0.3634005313611519,0.05367076931356491
2009-06-08,2009,1184,394,18,146,55,4,0.3767123287671233,0.0273972602739726,0.37234022180769166,0.05141360866599331
2009-06-15,2009,984,355,9,123,51,2,0.4146341463414634,0.016260162601626018,0.38181411819954814,0.04724778188375854
2009-06-22,2009,921,344,12,130,31,3,0.23846153846153847,0.023076923076923078,0.3710167149658392,0.04296679217283252
2009-06-29,2009,856,314,19,157,62,7,0.39490445859872614,0.044585987261146494,0.36764539729068,0.041704103080475834
2009-07-06,2009,873,274,13,147,57,12,0.3877551020408163,0.08163265306122448,0.3654154843464813,0.04404105184599603
2009-07-13,2009,807,246,9,181,74,11,0.4088397790055249,0.06077348066298342,0.3733219273104072,0.04704214869357484
2009-07-20,2009,622,233,7,152,52,11,0.34210526315789475,0.07236842105263158,0.3702517518718107,0.04775486799182046
2009-07-27,2009,625,225,18,161,53,6,0.32919254658385094,0.037267080745341616,0.3615756453696173,0.045420246091981156
2009-08-03,2009,535,186,7,187,82,6,0.4385026737967914,0.03208556149732621,0.3692994384983258,0.04600628374490036
2009-08-10,2009,492,155,9,162,63,9,0.3888888888888889,0.05555555555555555,0.366081281316754,0.05091820786414156
2009-08-17,2009,550,171,3,114,57,8,0.5,0.07017543859649122,0.3987735890090617,0.05680552230408757
2009-08-24,2009,542,158,12,139,67,8,0.48201438848920863,0.05755395683453238,0.40966233024537196,0.058426518500760805
2009-08-31,2009,577,202,4,154,65,6,0.42207792207792205,0.03896103896103896,0.4139526827500102,0.05309256673823762
2009-09-07,2009,574,185,6,167,65,9,0.38922155688622756,0.05389221556886228,0.41150040498509804,0.05223240860147247
2009-09-14,2009,609,224,15,143,63,6,0.4405594405594406,0.04195804195804196,0.42380717716029126,0.04843111121464877
2009-09-21,2009,518,199,6,133,72,8,0.5413533834586466,0.06015037593984962,0.4503272817696407,0.051291523113962276
2009-09-28,2009,530,179,11,116,65,4,0.5603448275862069,0.034482758620689655,0.46555755099331764,0.05159117275438271
2009-10-05,2009,629,213,7,138,58,8,0.42028985507246375,0.057971014492753624,0.4694826717662645,0.05189310512153246
2009-10-12,2009,565,212,5,132,54,6,0.4090909090909091,0.045454545454545456,0.45811903540262816,0.04880299347878924
2009-10-19,2009,533,215,8,123,52,7,0.42276422764227645,0.056910569105691054,0.45071276529676163,0.048722570012684076
2009-10-26,2009,620,207,11,135,59,5,0.43703703703703706,0.037037037037037035,0.452582654666651,0.04848206977218383
2009-11-02,2009,614,207,4,135,51,12,0.37777777777777777,0.08888888888888889,0.4511521822780947,0.052856653937187165
2009-11-09,2009,666,235,3,129,58,1,0.4496124031007752,0.007751937984496124,0.4522838025957616,0.048580890940493934
2009-11-16,2009,628,189,8,133,52,8,0.39097744360902253,0.06015037593984962,0.4334868101145586,0.048580890940493934
2009-11-23,2009,624,193,0,118,48,5,0.4067796610169492,0.0423728813559322,0.4142911642934014,0.04956715628239925
