date,year,neumonias_men5,hospitalizados_men5,defunciones_men5,neumonias_60mas,hospitalizados_60mas,defunciones_60mas,HR,CFR,HR_roll,CFR_roll
2019-06-17,2019,741,284,7,394,161,42,0.3832658569500675,0.009446693657219974,0.36919678221893243,0.005730594060808869
2019-06-24,2019,699,275,7,392,131,30,0.39341917024320455,0.010014306151645207,0.3723897225407838,0.006334713935982136
2019-07-01,2019,727,292,5,427,158,35,0.4016506189821183,0.0068775790921595595,0.37558750290500154,0.006660223288314047
2019-07-08,2019,741,274,4,460,149,32,0.3697705802968961,0.005398110661268556,0.37847549210878023,0.006223876009861505
2019-07-15,2019,623,250,5,477,168,38,0.4012841091492777,0.008025682182985553,0.3853289191382667,0.006636535101632337
2019-07-22,2019,593,237,3,490,176,37,0.3996627318718381,0.00505902192242833,0.39033925406056674,0.006940828852434566
2019-07-29,2019,600,215,5,473,182,36,0.35833333333333334,0.008333333333333333,0.3883175173106762,0.006996950184015818
2019-08-05,2019,522,195,2,455,158,33,0.3735632183908046,0.0038314176245210726,0.38511870240219254,0.007123268078195198
2019-08-12,2019,451,157,2,472,181,32,0.34811529933481156,0.004434589800443459,0.38072488270028554,0.0064967550960981345
2019-08-19,2019,400,141,6,461,182,38,0.3525,0.015,0.37560998641988497,0.007119966827142483
2019-08-26,2019,456,171,3,486,164,39,0.375,0.006578947368421052,0.3722786590471202,0.00708263786167517
2019-09-02,2019,488,179,5,400,141,37,0.3668032786885246,0.010245901639344262,0.3719077463460737,0.007688611733934632
2019-09-09,2019,484,163,3,392,127,27,0.3367768595041322,0.006198347107438017,0.36384434014043054,0.007460194849491191
2019-09-16,2019,458,157,2,447,149,30,0.34279475982532753,0.004366812227074236,0.3567358436346167,0.007373668637571928
2019-09-23,2019,488,185,3,402,154,29,0.3790983606557377,0.006147540983606557,0.3593314720499173,0.0071004445938560815
2019-09-30,2019,439,138,3,425,131,29,0.3143507972665148,0.00683371298405467,0.35192991940938106,0.0074757315137977814
2019-10-07,2019,420,168,4,423,161,27,0.4,0.009523809523809525,0.3584155069925296,0.00811188397921854
2019-10-14,2019,456,168,7,409,141,38,0.3684210526315789,0.015350877192982455,0.36040563857147695,0.008155743628341346
2019-10-21,2019,465,151,3,404,139,21,0.3247311827956989,0.0064516129032258064,0.3541220364209393,0.008139826820191941
2019-10-28,2019,439,165,1,419,180,28,0.37585421412300685,0.002277904328018223,0.3552534033502496,0.007143827156276186
2019-11-04,2019,476,161,4,433,147,29,0.3382352941176471,0.008403361344537815,0.355435707676939,0.00741945393591366
2019-11-11,2019,433,142,1,421,140,23,0.3279445727482679,0.0023094688221709007,0.35357943429230654,0.007162286010300744
2019-11-18,2019,445,158,2,396,137,16,0.3550561797752809,0.0044943820224719105,0.3505741616822494,0.006955641140158913
2019-11-25,2019,459,161,6,420,140,35,0.35076252723311546,0.013071895424836602,0.3551256279280745,0.007735413945256655
2019-12-02,2019,447,177,5,346,127,19,0.3959731543624161,0.011185682326621925,0.3546222722233765,0.007943148045608205
2019-12-09,2019,403,151,2,325,131,14,0.3746898263027295,0.004962779156327543,0.35540586893227033,0.006644635791026341
2019-12-16,2019,431,146,6,344,120,24,0.33874709976798145,0.013921113689095127,0.35715785855380566,0.007578323389260006
2019-12-23,2019,432,160,4,347,138,26,0.37037037037037035,0.009259259259259259,0.3564723780847261,0.008450992755665136
2019-12-30,2019,411,163,1,285,100,22,0.39659367396593675,0.0024330900243309003,0.3637671755657623,0.007704708840639271
2020-01-06,2020,427,178,8,403,167,31,0.4168618266978923,0.01873536299765808,0.37488183230946537,0.009757945612575168
2020-01-13,2020,392,116,2,348,132,15,0.29591836734693877,0.00510204081632653,0.36748960575592254,0.009833902961806997
2020-01-20,2020,350,128,3,300,114,17,0.3657142857142857,0.008571428571428572,0.3693585755660688,0.009271344605130991
2020-01-27,2020,345,118,4,334,136,22,0.34202898550724636,0.011594202898550725,0.36261555445917265,0.009322409676622092
2020-02-03,2020,308,120,5,296,138,23,0.38961038961038963,0.016233766233766232,0.36448062487263017,0.010731283061301928
2020-02-10,2020,326,123,3,286,109,25,0.3773006134969325,0.009202453987730062,0.36929981408874907,0.010141450598631295
2020-02-17,2020,373,107,2,314,128,30,0.2868632707774799,0.005361930294906166,0.35886142663963777,0.00965428447808716
2020-02-24,2020,367,139,1,302,111,21,0.3787465940054496,0.0027247956403269754,0.35663054164457686,0.009690747680086667
2020-03-02,2020,365,110,1,321,121,18,0.3013698630136986,0.0027397260273972603,0.34219404618405264,0.007691293058804066
2020-03-09,2020,417,146,3,335,120,30,0.3501199040767386,0.007194244604316547,0.34896923827527765,0.007952818532302817
2020-03-16,2020,268,99,2,347,121,28,0.3694029850746269,0.007462686567164179,0.3494303256953203,0.007814225781769768
2020-03-23,2020,239,78,5,275,104,26,0.3263598326359833,0.02092050209205021,0.3474716815864124,0.008980013180957204
2020-03-30,2020,117,49,2,196,87,18,0.4188034188034188,0.017094017094017096,0.35112081023554104,0.009087544538488562
2020-04-06,2020,80,28,0,147,73,18,0.35,0.0,0.34770823354842445,0.007937237790022304
2020-04-13,2020,64,19,1,193,89,19,0.296875,0.015625,0.34895969970123947,0.009220121503159033
2020-04-20,2020,61,17,5,256,120,24,0.2786885245901639,0.08196721311475409,0.3364524410243288,0.019125423687462423
2020-04-27,2020,46,11,0,236,124,31,0.2391304347826087,0.0,0.3286725124954425,0.018782957934037767
2020-05-04,2020,51,15,3,282,135,36,0.29411764705882354,0.058823529411764705,0.32167223036820314,0.025236618534968787
2020-05-11,2020,59,17,1,347,207,68,0.288135593220339,0.01694915254237288,0.3115138063864171,0.026422426781869873
2020-05-18,2020,46,17,1,387,232,72,0.3695652173913043,0.021739130434782608,0.3169144794808323,0.026524755324711425
